target_body_name;launch_date_YYYY-MM-DD;tof_days_d;delta_v_km_s;r1_total_corrected_x_km;r1_total_corrected_y_km;r1_total_corrected_z_km;v1_transfer_x_km_s;v1_transfer_y_km_s;v1_transfer_z_km_s;r2_total_corrected_x_km;r2_total_corrected_y_km;r2_total_corrected_z_km;v2_transfer_x_km_s;v2_transfer_y_km_s;v2_transfer_z_km_s
Mercury;2025-08-29 00:00:00.000;115.19938480379474;19.87862351320459;136976261.76149598;-58086229.2090788;-25157798.84705925;7.833475439531972;20.396878602226177;2.3477806042773044;-59406055.97399556;-17920555.103517;4028279.9316559;2.576668676492256;-53.91251526311916;-8.905535707383088
Mercury;2025-08-29 00:00:00.000;115.03650175033783;19.627980929310077;136976261.76149598;-58086229.2090788;-25157798.84705925;7.833475439531972;20.396878602226177;2.3477806042773044;-59406055.97399556;-17920555.103517;4028279.9316559;2.576668676492256;-53.91251526311916;-8.905535707383088
Mercury;2025-08-29 00:00:00.000;110.0;20.789448811026425;136976414.66078004;-58077898.77421856;-25155155.305193394;7.833176917946995;20.39762778302217;2.347693260890188;-59406055.97399556;-17920555.103517;4028279.9316559;2.5784074934327315;-53.91238033477835;-8.90498327135236
Mercury;2025-08-29 00:00:00.000;117.7541222864974;20.620651392948396;136976414.66078004;-58077898.77421856;-25155155.305193394;7.833176917946995;20.39762778302217;2.347693260890188;-59406055.97399556;-17920555.103517;4028279.9316559;2.5784074934327315;-53.91238033477835;-8.90498327135236
Mercury;2025-08-29 00:00:00.000;112.57627786605704;21.007570503645347;136976414.66078004;-58077898.77421856;-25155155.305193394;7.833176917946995;20.39762778302217;2.347693260890188;-59406055.97399556;-17920555.103517;4028279.9316559;2.5784074934327315;-53.91238033477835;-8.90498327135236
Mercury;2025-03-07 00:00:00.000;139.77710474421224;23.9985652081664;-145024971.71248662;31501459.68088333;13686319.485588944;9.61842935349933;-19.03423249708769;-2.016691706944862;52322624.85037005;-21976558.51574038;1526264.3650819508;10.480135033605904;57.19614458338717;8.115996127049678
Mercury;2025-08-04 00:00:00.000;139.17522346812373;22.8547737780532;100030932.86135678;-104993269.33870104;-45484656.52341204;18.562718380568946;11.645458183708504;0.4723110592516013;-59406055.97399556;-17920555.103517;4028279.9316559;-0.9736698561477724;-52.71037084138775;-14.94195088772865
Mercury;2025-08-04 00:00:00.000;141.76967214154035;22.69393837363105;100030932.86135678;-104993269.33870104;-45484656.52341204;18.562718380568946;11.645458183708504;0.4723110592516013;-59406055.97399556;-17920555.103517;4028279.9316559;-0.9736698561477724;-52.71037084138775;-14.94195088772865
Mercury;2025-08-09 00:00:00.000;130.0;23.46143380043288;109075970.70311728;-96847435.80001976;-41960553.83011782;16.95238476882568;13.749989700568545;1.1510208003063087;-59406055.97399556;-17920555.103517;4028279.9316559;-0.0844369748539612;-52.90877462290991;-14.081729804263777
Mercury;2025-08-09 00:00:00.000;129.89117529632532;22.678108750698;109075970.70311728;-96847435.80001976;-41960553.83011782;16.95238476882568;13.749989700568545;1.1510208003063087;-59406055.97399556;-17920555.103517;4028279.9316559;-0.0844369748539612;-52.90877462290991;-14.081729804263777
